Question,Option A,Option B,Option C,Option D,Answer
Which OpenMP directive is used to parallelize the BFS traversal loop?,#pragma omp for,#pragma omp sections,#pragma omp single,#pragma omp task,A
What is the purpose of the 'num_omp_threads' variable?,It specifies the number of nodes in the graph.,It determines the maximum number of edges in the graph.,It specifies the number of OpenMP threads to be used.,It counts the number of iterations the BFS will perform.,C
To which variable does the 'omp_set_num_threads' function setting apply if uncommented?,source,edge_list_size,no_of_nodes,num_omp_threads,D
"What is the initial value of each element in 'h_cost' array before the BFS starts, except for the source node?",0,-1,INT_MAX,Undefined,B
"If 'OMP_OFFLOAD' is defined, where do the BFS computations occur?",On the CPU,On the integrated GPU,On a discrete GPU or other accelerator,Across a distributed system,C
What is a potential consequence of not setting the number of threads explicitly?,The program may not run.,The thread limit for parallel regions will unset.,The execution may be slower due to reliance on a default setting.,All computation will be done serially.,C
What does the 'h_graph_mask' boolean array represent?,The edges of the graph,The cost of the paths from the source,The nodes that need to be updated in the current iteration,The nodes that have been visited,C
Which function is used to measure the duration of the BFS algorithm?,omp_set_wtime(),omp_get_wtick(),omp_get_wtime(),omp_set_wtick(),C
What does the 'h_updating_graph_mask' array track?,Nodes to be considered for the next BFS iteration,Edges that were updated in the current iteration,The cost of traversing the graph,The current nodes being processed by the threads,A
How is parallelism inside the BFS loop achieved?,By parallelizing the file reading process,By spreading nodes across threads for concurrent processing,By using a parallel reduction,By distributing the edge list among threads,B
What could be a reason the 'find_nearest_point' function may perform poorly in a parallel OpenMP environment?,It uses a global index that causes contention.,The 'float min_dist=FLT_MAX;' statement is not thread-safe.,The algorithm does not have any data dependencies or race conditions.,False sharing could occur on 'index' and 'min_dist' variables.,D
Which OpenMP directive could be immediately used to potentially improve the performance of the outer loop in 'kmeans_clustering' function?,#pragma omp parallel for,#pragma omp atomic,#pragma omp master,#pragma omp single,A
"To avoid race conditions when updating 'new_centers_len' inside the 'kmeans_clustering' function, which OpenMP directive should be used when modifying its elements?",#pragma omp critical,#pragma omp barrier,#pragma omp parallel,#pragma omp atomic,D
Choosing which option may result in minimizing the possibility of false sharing in the 'kmeans_clustering' function?,Pad 'new_centers_len' to align with cache line size.,Allocate 'clusters' as a one-dimensional array.,Use dynamic scheduling for loops.,Place '#pragma omp parallel' before the loop over 'npoints'.,A
How could the reduction of the 'delta' variable be handled in a parallelized loop within 'kmeans_clustering'?,Use '#pragma omp single' before updating 'delta'.,Employ '#pragma omp critical' around 'delta' updates.,Declare 'delta' as 'shared' among threads.,Use '#pragma omp parallel for reduction(+:delta)' for accumulative loops.,D
What is the potential issue with using 'rand()' inside a parallel region of the 'kmeans_clustering' function?,It is not thread-safe and can result in the same number being generated multiple times.,'rand()' is optimized for parallel execution by default.,The function 'rand()' cannot be called within a OpenMP parallel region.,It will cause a deadlock in the parallel region.,A
What is true about OpenMP 'parallel' directive in 'kmeans_clustering'?,It should be used only at the start of the function for maximum performance.,It can be used for parallelizing data initialization parts of the function.,It cannot be nested inside other parallel regions.,It is automatically applied to all the loops within the function.,B
"Considering the 'nfeatures' variable in 'kmeans_clustering', which OpenMP scheduling strategy can be optimal if 'nfeatures' is significant but each iteration takes a variable amount of time?",Static scheduling,Dynamic scheduling,Guided scheduling,Auto scheduling,B
"In the 'kmeans_clustering' function, which variable could benefit most from first-touch policy when using OpenMP on NUMA architecture?",feature,clusters[0],new_centers_len,membership,B
"To ensure correct results while using OpenMP, what is the most appropriate action for updating the 'membership' array in 'kmeans_clustering'?",Wrap each update to 'membership' in a '#pragma omp critical' section.,Mark 'membership' as a 'firstprivate' variable in OpenMP.,No action needed as each thread updates different elements of 'membership'.,Use '#pragma omp atomic' when updating elements of 'membership'.,C
