file_path,modified_file_path
lud/tools/gen_input.c,modified_snippets/snippet_0.txt
lud/common/common.c,modified_snippets/snippet_1.txt
lud/omp/lud_omp.c,modified_snippets/snippet_2.txt
lud/omp/lud.c,modified_snippets/snippet_3.txt
lud/base/lud_base.c,modified_snippets/snippet_4.txt
lud/base/lud.c,modified_snippets/snippet_5.txt
hotspot3D/3D.c,modified_snippets/snippet_6.txt
hotspot/hotspot_openmp.cpp,modified_snippets/snippet_7.txt
pathfinder/pathfinder.cpp,modified_snippets/snippet_8.txt
b+tree/main.c,modified_snippets/snippet_9.txt
b+tree/kernel/kernel_cpu_2.c,modified_snippets/snippet_10.txt
b+tree/kernel/kernel_cpu.c,modified_snippets/snippet_11.txt
b+tree/util/timer/timer.c,modified_snippets/snippet_12.txt
b+tree/util/num/num.c,modified_snippets/snippet_13.txt
cfd/pre_euler3d_cpu_double.cpp,modified_snippets/snippet_14.txt
cfd/euler3d_cpu.cpp,modified_snippets/snippet_15.txt
cfd/euler3d_cpu_double.cpp,modified_snippets/snippet_16.txt
cfd/pre_euler3d_cpu.cpp,modified_snippets/snippet_17.txt
streamcluster/streamcluster_omp.cpp,modified_snippets/snippet_18.txt
streamcluster/streamcluster_original.cpp,modified_snippets/snippet_19.txt
particlefilter/ex_particle_OPENMP_seq.c,modified_snippets/snippet_20.txt
nw/needle.cpp,modified_snippets/snippet_21.txt
myocyte/main.c,modified_snippets/snippet_22.txt
myocyte/timer.c,modified_snippets/snippet_23.txt
myocyte/cam.c,modified_snippets/snippet_24.txt
myocyte/embedded_fehlberg_7_8.c,modified_snippets/snippet_25.txt
myocyte/master.c,modified_snippets/snippet_26.txt
myocyte/ecc.c,modified_snippets/snippet_27.txt
myocyte/define.c,modified_snippets/snippet_28.txt
myocyte/fin.c,modified_snippets/snippet_29.txt
myocyte/file.c,modified_snippets/snippet_30.txt
myocyte/solver.c,modified_snippets/snippet_31.txt
bfs/bfs.cpp,modified_snippets/snippet_32.txt
backprop/imagenet.c,modified_snippets/snippet_33.txt
backprop/facetrain.c,modified_snippets/snippet_34.txt
backprop/backprop.c,modified_snippets/snippet_35.txt
backprop/backprop_kernel.c,modified_snippets/snippet_36.txt
kmeans/kmeans_openmp/kmeans.c,modified_snippets/snippet_37.txt
kmeans/kmeans_openmp/getopt.c,modified_snippets/snippet_38.txt
kmeans/kmeans_openmp/cluster.c,modified_snippets/snippet_39.txt
kmeans/kmeans_openmp/kmeans_clustering.c,modified_snippets/snippet_40.txt
kmeans/kmeans_serial/kmeans.c,modified_snippets/snippet_41.txt
kmeans/kmeans_serial/getopt.c,modified_snippets/snippet_42.txt
kmeans/kmeans_serial/cluster.c,modified_snippets/snippet_43.txt
kmeans/kmeans_serial/kmeans_clustering.c,modified_snippets/snippet_44.txt
heartwall/main.c,modified_snippets/snippet_45.txt
heartwall/kernel.c,modified_snippets/snippet_46.txt
heartwall/define.c,modified_snippets/snippet_47.txt
heartwall/AVI/avimod.c,modified_snippets/snippet_48.txt
heartwall/AVI/avilib.c,modified_snippets/snippet_49.txt
leukocyte/OpenMP/detect_main.c,modified_snippets/snippet_50.txt
leukocyte/OpenMP/avilib.c,modified_snippets/snippet_51.txt
leukocyte/OpenMP/track_ellipse.c,modified_snippets/snippet_52.txt
leukocyte/OpenMP/misc_math.c,modified_snippets/snippet_53.txt
leukocyte/OpenMP/find_ellipse.c,modified_snippets/snippet_54.txt
leukocyte/meschach_lib/splufctr.c,modified_snippets/snippet_55.txt
leukocyte/meschach_lib/iter0.c,modified_snippets/snippet_56.txt
leukocyte/meschach_lib/arnoldi.c,modified_snippets/snippet_57.txt
leukocyte/meschach_lib/norm.c,modified_snippets/snippet_58.txt
leukocyte/meschach_lib/itertort.c,modified_snippets/snippet_59.txt
leukocyte/meschach_lib/zhessen.c,modified_snippets/snippet_60.txt
leukocyte/meschach_lib/zmatio.c,modified_snippets/snippet_61.txt
leukocyte/meschach_lib/svd.c,modified_snippets/snippet_62.txt
leukocyte/meschach_lib/zqrfctr.c,modified_snippets/snippet_63.txt
leukocyte/meschach_lib/dmacheps.c,modified_snippets/snippet_64.txt
leukocyte/meschach_lib/znorm.c,modified_snippets/snippet_65.txt
leukocyte/meschach_lib/spswap.c,modified_snippets/snippet_66.txt
leukocyte/meschach_lib/sparseio.c,modified_snippets/snippet_67.txt
leukocyte/meschach_lib/fft.c,modified_snippets/snippet_68.txt
leukocyte/meschach_lib/submat.c,modified_snippets/snippet_69.txt
leukocyte/meschach_lib/matrixio.c,modified_snippets/snippet_70.txt
leukocyte/meschach_lib/extras.c,modified_snippets/snippet_71.txt
leukocyte/meschach_lib/zlufctr.c,modified_snippets/snippet_72.txt
leukocyte/meschach_lib/solve.c,modified_snippets/snippet_73.txt
leukocyte/meschach_lib/copy.c,modified_snippets/snippet_74.txt
leukocyte/meschach_lib/tutadv.c,modified_snippets/snippet_75.txt
leukocyte/meschach_lib/zmachine.c,modified_snippets/snippet_76.txt
leukocyte/meschach_lib/machine.c,modified_snippets/snippet_77.txt
leukocyte/meschach_lib/conjgrad.c,modified_snippets/snippet_78.txt
leukocyte/meschach_lib/itersym.c,modified_snippets/snippet_79.txt
leukocyte/meschach_lib/qrfactor.c,modified_snippets/snippet_80.txt
leukocyte/meschach_lib/init.c,modified_snippets/snippet_81.txt
leukocyte/meschach_lib/zhsehldr.c,modified_snippets/snippet_82.txt
leukocyte/meschach_lib/iotort.c,modified_snippets/snippet_83.txt
leukocyte/meschach_lib/ivecop.c,modified_snippets/snippet_84.txt
leukocyte/meschach_lib/tutorial.c,modified_snippets/snippet_85.txt
leukocyte/meschach_lib/mfuntort.c,modified_snippets/snippet_86.txt
leukocyte/meschach_lib/spchfctr.c,modified_snippets/snippet_87.txt
leukocyte/meschach_lib/spbkp.c,modified_snippets/snippet_88.txt
leukocyte/meschach_lib/sprow.c,modified_snippets/snippet_89.txt
leukocyte/meschach_lib/zgivens.c,modified_snippets/snippet_90.txt
leukocyte/meschach_lib/hessen.c,modified_snippets/snippet_91.txt
leukocyte/meschach_lib/torture.c,modified_snippets/snippet_92.txt
leukocyte/meschach_lib/err.c,modified_snippets/snippet_93.txt
leukocyte/meschach_lib/lanczos.c,modified_snippets/snippet_94.txt
leukocyte/meschach_lib/memtort.c,modified_snippets/snippet_95.txt
leukocyte/meschach_lib/matlab.c,modified_snippets/snippet_96.txt
leukocyte/meschach_lib/lufactor.c,modified_snippets/snippet_97.txt
leukocyte/meschach_lib/schur.c,modified_snippets/snippet_98.txt
leukocyte/meschach_lib/maxint.c,modified_snippets/snippet_99.txt
leukocyte/meschach_lib/zfunc.c,modified_snippets/snippet_100.txt
leukocyte/meschach_lib/memory.c,modified_snippets/snippet_101.txt
leukocyte/meschach_lib/zmemory.c,modified_snippets/snippet_102.txt
leukocyte/meschach_lib/zmatop.c,modified_snippets/snippet_103.txt
leukocyte/meschach_lib/zmatlab.c,modified_snippets/snippet_104.txt
leukocyte/meschach_lib/zcopy.c,modified_snippets/snippet_105.txt
leukocyte/meschach_lib/zsolve.c,modified_snippets/snippet_106.txt
leukocyte/meschach_lib/bkpfacto.c,modified_snippets/snippet_107.txt
leukocyte/meschach_lib/bdfactor.c,modified_snippets/snippet_108.txt
leukocyte/meschach_lib/sparse.c,modified_snippets/snippet_109.txt
leukocyte/meschach_lib/hsehldr.c,modified_snippets/snippet_110.txt
leukocyte/meschach_lib/zvecop.c,modified_snippets/snippet_111.txt
leukocyte/meschach_lib/givens.c,modified_snippets/snippet_112.txt
leukocyte/meschach_lib/version.c,modified_snippets/snippet_113.txt
leukocyte/meschach_lib/meminfo.c,modified_snippets/snippet_114.txt
leukocyte/meschach_lib/symmeig.c,modified_snippets/snippet_115.txt
leukocyte/meschach_lib/chfactor.c,modified_snippets/snippet_116.txt
leukocyte/meschach_lib/fmacheps.c,modified_snippets/snippet_117.txt
leukocyte/meschach_lib/matop.c,modified_snippets/snippet_118.txt
leukocyte/meschach_lib/memstat.c,modified_snippets/snippet_119.txt
leukocyte/meschach_lib/mfunc.c,modified_snippets/snippet_120.txt
leukocyte/meschach_lib/update.c,modified_snippets/snippet_121.txt
leukocyte/meschach_lib/ztorture.c,modified_snippets/snippet_122.txt
leukocyte/meschach_lib/zschur.c,modified_snippets/snippet_123.txt
leukocyte/meschach_lib/vecop.c,modified_snippets/snippet_124.txt
leukocyte/meschach_lib/pxop.c,modified_snippets/snippet_125.txt
leukocyte/meschach_lib/iternsym.c,modified_snippets/snippet_126.txt
leukocyte/meschach_lib/otherio.c,modified_snippets/snippet_127.txt
leukocyte/meschach_lib/sptort.c,modified_snippets/snippet_128.txt
leukocyte/meschach_lib/MACHINES/RS6000/machine.c,modified_snippets/snippet_129.txt
srad/srad_v1/main.c,modified_snippets/snippet_130.txt
srad/srad_v1/timer.c,modified_snippets/snippet_131.txt
srad/srad_v1/graphics.c,modified_snippets/snippet_132.txt
srad/srad_v1/resize.c,modified_snippets/snippet_133.txt
srad/srad_v1/define.c,modified_snippets/snippet_134.txt
srad/srad_v2/srad.cpp,modified_snippets/snippet_135.txt
lavaMD/main.c,modified_snippets/snippet_136.txt
lavaMD/kernel/kernel_cpu.c,modified_snippets/snippet_137.txt
lavaMD/util/timer/timer.c,modified_snippets/snippet_138.txt
lavaMD/util/num/num.c,modified_snippets/snippet_139.txt
mummergpu/src/morton.c,modified_snippets/snippet_140.txt
mummergpu/src/smith-waterman.cpp,modified_snippets/snippet_141.txt
